Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2023-02-27,"60,500","2,734,507","-943,618","-1,887,391","-1,944,462","-40,614","-32,183","25,134","35,166","145,172","86,128","10,374","-75,604"
2023-02-24,"61,300","1,031,209","-6,486","-1,005,323","-899,682","18,930","89,006","8,532","22,004","-177,435","-21,105","1,705","-66,678"
2023-02-23,"62,000","-1,935,219","699,540","1,259,108","1,218,786","-96,738","-2,044","-13,485","-1,423","-190,943","-13,114","-10,315","344,955"
2023-02-22,"61,100","2,592,646","-234,048","-2,442,875","-1,855,202","-23,956","-110,171","10,420","11,835","-152,338","74,415","9,862","-323,463"
2023-02-21,"62,100","1,540,869","-62,752","-1,473,117","-1,249,965","34,459","-86,430","5,024",2,"-117,268","-14,733","9,733","-58,939"
2023-02-20,"62,700","217,461","-781,791","546,521","775,259","-8,157","-134,660",185,"-1,053","-32,614","9,727","8,082","-52,439"
2023-02-17,"62,600","1,246,670","803,786","-2,073,724","-1,720,513","-19,933","-158,439","7,967","4,058","-130,609","30,217","-6,949","-56,255"
2023-02-16,"63,700","-4,280,131","1,608,633","2,733,282","3,144,394","-18,349","-146,661","-13,176",-508,"-296,293","-41,331","-20,453","63,875"
2023-02-15,"62,200","2,055,116","370,610","-2,453,541","-2,256,309","44,820","-162,312","-2,968",2,"-18,173","15,883","11,932","-58,601"
2023-02-14,"63,200","-1,715,531","404,191","1,348,181","1,206,917","-51,498","93,186","22,253",-45,"53,964","-31,446","-5,395","23,404"
2023-02-13,"62,900","-211,496","2,264,590","-1,828,690","-1,374,090","21,983","-286,565",0,498,"-9,806","-222,212","-2,192","-180,710"
2023-02-10,"62,800","416,077","1,760,570","-2,217,379","-1,759,769","19,848","-49,515","20,110","-3,733","-38,452","38,724","2,008","-405,868"
2023-02-09,"63,000","-185,521","1,553,218","-1,289,172","-1,200,725","5,124","12,982","-1,128","-2,380","-285,987","-79,773","1,248","182,942"
2023-02-08,"63,100","-2,205,527","2,989,063","-683,561","-707,750","-5,876","-12,407","-38,278","3,782","44,437","-94,420","-5,555","32,531"
2023-02-07,"61,900","499,023","563,336","-1,028,256","-860,613","3,367","-9,188","3,016",-204,"-145,196","-33,550",-553,"-19,438"
2023-02-06,"61,600","3,968,601","-2,275,019","-1,768,399","-1,830,510","-6,911","-24,864","-79,018",300,"341,597","60,411","14,406","-168,993"
2023-02-03,"63,800","-1,732,710","3,805,110","-2,021,442","-981,470","74,658","-218,286","-30,520",412,"-200,807","-48,707","-2,251","-665,429"
2023-02-02,"63,500","-4,780,382","5,123,183","-1,232,547","-787,680","87,905","-53,776",-339,"11,311","-123,121","903,525","-13,779","-366,847"
2023-02-01,"61,800","369,617","62,860","-512,004","339,383","57,173","49,779","-2,992","4,614","-348,948","73,448","6,079","-611,013"
2023-01-31,"61,000","5,198,171","-6,790,662","1,535,227","1,876,886","-43,962","-434,900","115,024",-649,"-387,026","30,716","26,548","409,854"
2023-01-30,"63,300","81,811","1,593,448","-677,494","-35,242","-84,714","-352,215","27,981","-37,865","-66,895","-995,552","-2,213","-128,544"
2023-01-27,"64,600","-6,131,507","5,830,723","440,271","792,795","-135,752","-116,601","-20,679","3,418","-77,869","-122,018","-17,469","-5,041"
2023-01-26,"63,900","-3,441,185","3,585,433","-56,761","-117,955","-64,703","365,278","-18,712","-3,419","-100,006","-76,770","-10,717","-117,244"
2023-01-25,"63,400","-7,609,753","7,469,212","164,892","-98,615","-125,359","14,619","-36,453","-3,518","364,892",102,"-24,453","49,326"
2023-01-20,"61,800","-1,647,820","1,535,750","127,097","-201,185","34,529","98,617","-4,012",-62,"-97,462","-9,044","-5,983","296,672"
2023-01-19,"61,500","-3,306,867","4,785,083","-1,422,690","-657,995","-1,213","19,177","-8,557","-2,429","-806,504","-36,775","-18,751","34,831"
2023-01-18,"60,400","676,096","259,868","-894,047","-127,898","-41,892","-110,837","2,528","-98,971","-438,450","-42,461",544,"-78,527"
2023-01-17,"61,000","-501,323","1,125,839","-605,869","-228,962","-34,333","-25,070",-597,-479,"8,692","-12,859","-5,788","-325,120"
2023-01-16,"61,100","-2,191,273","1,088,709","1,102,518","660,851","58,345","101,303",647,"-2,190","118,417","12,709","-12,663","165,145"
2023-01-13,"60,800","-2,053,815","1,390,396","434,082","450,290","-58,691","-39,476","-3,984","-7,942","154,567","237,319","-7,982","-60,682"
2023-01-12,"60,500","-102,651","1,726,466","-1,546,824","-1,290,540","-24,331","90,119","1,833",163,"-274,044","-76,870",-121,"-50,024"
2023-01-11,"60,500","-736,992","119,764","684,500","1,124,226","-37,768","-127,397",-634,41,"-22,180","-63,208","-4,064","-251,788"
2023-01-10,"60,400","-1,567,197","613,853","941,265","1,103,414","48,914","75,866","3,616","-2,065","3,138","14,986","-2,907","-291,618"
