Date,Close_price,Individual,Foreigner,Organ,Finance,Insurance,Investment,Bank,Other_finance,Pension_fund,Other_corporations,Other_foreiner,Private_fund
2023-05-10,"64,600","1,395,137","-656,908","-857,650","-308,370","-17,286","-24,717","5,000","-40,715","-277,175","115,547","3,874","-194,387"
2023-05-09,"65,300","210,673","-448,538","209,493","140,934","-50,985","-91,477","7,492","-20,583","18,183","27,062","1,310","205,929"
2023-05-08,"65,900","-2,659,491","1,140,161","1,559,418","1,584,966","26,272","-44,528","-4,992","3,557","-472,501","-31,860","-8,228","466,644"
2023-05-04,"65,100","120,711","1,338,218","-1,477,647","-1,113,794","-21,800","-18,238","1,829",-193,"-227,932","18,120",598,"-97,519"
2023-05-03,"65,400","33,808","1,055,659","-1,055,097","-960,990","41,434","-86,730","1,877","2,145","65,474","-38,038","3,668","-118,307"
2023-05-02,"65,700","-1,617,595","1,182,783","525,392","804,752","-3,933","-63,324",-131,"1,090","88,219","-76,077","-14,503","-301,281"
2023-04-28,"65,500","-2,655,168","3,945,664","-1,207,549","-1,968,180","80,878","511,602",-152,"4,152","-288,882","-79,924","-3,023","453,033"
2023-04-27,"64,600","-1,395,720","3,903,863","-2,461,875","-2,460,242","4,407","54,167","-1,357",321,"-201,662","-38,641","-7,627","142,491"
2023-04-26,"64,100","-344,893","1,449,468","-976,399","-351,304",-701,"-165,166","9,239",-29,"-424,377","-127,108","-1,068","-44,061"
2023-04-25,"63,600","1,262,402","-714,267","-542,786","510,340","23,631","-394,166","21,391","-12,654","-311,076","-9,770","4,421","-380,252"
2023-04-24,"65,200","-1,630,852","1,358,201","341,263","1,152,154","-18,416","-392,205","3,098","-8,548","-396,668","-61,992","-6,620","1,848"
2023-04-21,"65,700","-2,003,922","2,685,197","-669,886","233,403","-1,788","-421,935","-2,544","25,400","-272,052","-3,024","-8,365","-230,370"
2023-04-20,"65,300","-828,517","1,258,250","-403,885","84,562","5,664","-165,499","2,547","-1,711","-494,419","-23,842","-2,006","164,971"
2023-04-19,"65,500","-971,232","1,055,804","-69,196","90,713","-46,059","-59,995","3,966","-3,788","-145,631","-10,836","-4,540","91,598"
2023-04-18,"65,600","-657,954","3,743,178","-3,073,137","-2,164,034","-54,119","-151,032","-23,571","-1,330","-536,524","-6,669","-5,418","-142,527"
2023-04-17,"65,300","-1,659,936","3,489,280","-1,775,624","-1,263,247","-68,672","-16,434","-45,336","-1,742","-341,975","-50,906","-2,814","-38,218"
2023-04-14,"65,100","1,021,366","-1,670,939","595,476","1,115,749","-34,404","-287,295","5,840","-41,771","283,310","55,748","-1,651","-445,953"
2023-04-13,"66,100","-1,114,819","19,581","1,097,667","2,154,655","2,793","-119,977","1,525","-3,512","-165,266","3,028","-5,457","-772,551"
2023-04-12,"66,000","-1,956,503","3,461,330","-1,535,917","-1,040,312","-22,050","-105,698","-1,224","-15,090","-247,160","43,670","-12,580","-104,383"
2023-04-11,"65,900","-2,302,597","1,148,879","1,240,069","894,892","-52,919","-105,786","15,491","-25,755","239,203","-79,128","-7,223","274,943"
2023-04-10,"65,700","-4,398,039","4,532,963","-75,437","-391,499","11,586","339,589","-15,596","-9,789","-170,236","-54,326","-5,161","160,508"
2023-04-07,"65,000","-15,186,575","13,612,549","1,749,750","363,255","22,790","880,608","-50,169","-1,360","-52,630","-101,584","-74,140","587,256"
2023-04-06,"62,300","2,055,160","-269,440","-1,835,759","-1,748,449","27,008","-359,293","19,740","-3,612","-131,141","58,794","-8,755","359,988"
2023-04-05,"63,900","-2,226,083","2,444,762","-171,248","872,275","4,135","-340,240","-6,026","-3,953","-306,078","-37,305","-10,126","-391,361"
2023-04-04,"63,600","-2,096,760","1,877,802","297,976","641,484","-120,277","11,135","-12,771","3,847","-222,492","-68,698","-10,320","-2,950"
2023-04-03,"63,100","575,196","939,506","-1,550,689","-1,442,398","69,224","-113,842","8,015","6,700","68,005","35,898",89,"-146,393"
2023-03-31,"64,000","-5,315,825","5,015,911","413,497","484,664","-13,508","43,034","-13,386",426,"51,536","-93,494","-20,089","-139,269"
2023-03-30,"63,200","-2,938,766","3,364,149","-416,494","-511,051","18,201","-49,568","-11,798","-9,240","353,251","-7,390","-1,499","-206,289"
2023-03-29,"62,700","-492,173","-624,148","1,116,677","1,140,988","40,578","-205,175",-986,"-2,082","-1,741","3,188","-3,544","145,095"
2023-03-28,"62,900","-1,709,847","-7,908","1,780,041","1,403,282","-26,231","90,742","-12,562",-46,"-33,254","-54,469","-7,817","358,110"
2023-03-27,"62,100","-397,518","-45,040","405,924","766,412","-22,927","-97,714","9,552","22,362","-35,741","39,629","-2,995","-236,020"
2023-03-24,"63,000","-5,456,497","7,402,874","-1,846,848","-1,968,955","-33,401","168,974","-13,058","-1,110","-145,367","-81,630","-17,899","146,069"
2023-03-23,"62,300","-4,808,757","4,064,331","891,469","732,644","13,056","16,446","-6,472","-8,995","-181,286","-129,366","-17,677","326,076"
2023-03-22,"61,100","-2,431,771","1,714,280","769,342","407,193","-9,378","84,556","-5,217","12,277","43,166","-44,064","-7,787","236,745"
2023-03-21,"60,300","-59,601","-414,516","458,186","545,648","1,932","5,444","2,924",252,"-102,744","10,451","5,480","4,730"
2023-03-20,"60,200","1,269,694","-1,484,725","195,908","283,691","-15,632","-118,010","4,313",17,"88,063","15,958","3,165","-46,534"
2023-03-17,"61,300","-3,328,916","3,224,363","127,839","-346,625","12,482","68,100","-13,674","1,334","210,415","-9,281","-14,005","195,807"
2023-03-16,"59,900","-16,071","411,225","-380,720","-448,309","-12,914","6,473",24,"-46,742","123,323","-10,025","-4,409","-2,575"
2023-03-15,"59,800","-1,639,734","949,280","702,433","951,107","-17,154","-68,131","-12,416","3,319","-101,329","-10,402","-1,577","-52,963"
2023-03-14,"59,000","1,686,863","-1,773,696","55,494","217,778","21,917","-1,492","33,435","30,689","-193,020","27,775","3,564","-53,813"
2023-03-13,"60,000","-1,201,717","428,167","996,395","698,628",945,"56,719",64,"32,361","144,920","-219,987","-2,858","62,758"
2023-03-10,"59,500","2,125,822","-565,992","-1,637,253","-1,771,292","-15,041","14,599","29,143","5,217","257,259","69,722","7,701","-157,138"
2023-03-09,"60,100","1,281,759","-3,627,542","2,306,833","2,304,219","35,846","96,736","41,686",-358,"-193,019","29,088","9,862","21,723"
2023-03-08,"60,300","1,725,716","1,552,317","-3,298,016","-3,081,560","-21,383","-4,924","12,926","-14,572","-41,944","13,189","6,794","-146,559"
2023-03-07,"60,700","1,252,802","-635,896","-656,990","-744,085","-35,186","55,549","13,664","1,414","62,060","40,032",52,"-10,406"
2023-03-06,"61,500","-3,482,906","1,290,988","2,266,416","2,219,141","44,171","70,250",920,"-8,138","-186,409","-62,986","-11,512","126,481"
2023-03-03,"60,500","1,200,902","-1,005,588","-233,193","-153,232","-53,774","14,434","2,698",748,"-108,177","32,452","5,427","64,110"
2023-03-02,"60,800","-763,199","2,550,611","-1,617,684","-1,239,887","-58,313","5,844","4,437","-4,013","-337,773","-168,179","-1,549","12,021"
2023-02-28,"60,600","-678,384","-365,897","1,088,959","1,027,091","-55,963","198,513",-485,"-15,322","-150,764","-41,847","-2,831","85,889"
